Token	POS-Tag	OOV	Id	Origem	Sentence	Classe
desempilhar	VERB	1	7_pert_0	7	Como desempilhar água em uma pilha ?	0
água	NOUN	0	7_pert_0	7	Como desempilhar água em uma pilha ?	0
em	ADP	0	7_pert_0	7	Como desempilhar água em uma pilha ?	0
uma	DET	0	7_pert_0	7	Como desempilhar água em uma pilha ?	0
pilha	NOUN	0	7_pert_0	7	Como desempilhar água em uma pilha ?	0
?	PUNCT	0	7_pert_0	7	Como desempilhar água em uma pilha ?	0
Como	ADP	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
desempilhar	NOUN	1	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
elementos	NOUN	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
em	ADP	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
uma	DET	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
estrutura	NOUN	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
de	ADP	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
dados	NOUN	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
pilha	NOUN	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
?	PUNCT	0	8	8	Como desempilhar elementos em uma estrutura de dados pilha ?	1
Como	SCONJ	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
identificar	VERB	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
elementos	NOUN	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
em	ADP	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
uma	DET	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
estrutura	NOUN	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
de	ADP	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
dados	NOUN	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
pilha	NOUN	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
?	PUNCT	0	8_pert_0	8	Como identificar elementos em uma estrutura de dados pilha ?	0
O	PRON	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
que	PRON	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
é	AUX	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
uma	DET	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
pilha	NOUN	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
e	CCONJ	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
como	ADV	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
empilhar	VERB	1	9	9	O que é uma pilha e como empilhar seu elemento ?	1
seu	DET	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
elemento	NOUN	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
?	PUNCT	0	9	9	O que é uma pilha e como empilhar seu elemento ?	1
O	PRON	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
que	PRON	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
é	AUX	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
uma	DET	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
pilha	NOUN	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
e	CCONJ	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
como	ADV	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
identificar	VERB	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
seu	DET	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
elemento	NOUN	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
?	PUNCT	0	9_pert_0	9	O que é uma pilha e como identificar seu elemento ?	0
O	PRON	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
que	PRON	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
é	AUX	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
uma	DET	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
fila	NOUN	1	10	10	O que é uma fila e como enfileirar seu elemento ?	1
e	CCONJ	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
como	ADV	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
enfileirar	VERB	1	10	10	O que é uma fila e como enfileirar seu elemento ?	1
seu	DET	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
elemento	NOUN	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
?	PUNCT	0	10	10	O que é uma fila e como enfileirar seu elemento ?	1
O	PRON	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
que	PRON	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
é	AUX	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
uma	DET	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
fila	NOUN	1	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
e	CCONJ	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
como	ADV	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
identificar	VERB	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
seu	DET	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
elemento	NOUN	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
?	PUNCT	0	10_pert_0	10	O que é uma fila e como identificar seu elemento ?	0
O	PRON	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
que	PRON	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
é	AUX	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
uma	DET	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
fila	NOUN	1	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
e	CCONJ	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
como	ADV	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
desenfileirar	ADV	1	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
um	DET	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
elemento	NOUN	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
nela	PRON	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
?	PUNCT	0	11	11	O que é uma fila e como desenfileirar um elemento nela ?	1
O	PRON	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
que	PRON	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
é	AUX	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
uma	DET	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
fila	NOUN	1	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
e	CCONJ	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
como	ADV	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
desenfileirar	ADV	1	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
um	DET	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
carro	NOUN	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
nela	PRON	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
?	PUNCT	0	11_pert_0	11	O que é uma fila e como desenfileirar um carro nela ?	0
O	PRON	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
que	PRON	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
é	AUX	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
uma	DET	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
pilha	NOUN	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
e	CCONJ	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
como	ADV	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
desempilhar	NOUN	1	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
um	DET	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
elemento	NOUN	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
nela	PRON	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
?	PUNCT	0	12	12	O que é uma pilha e como desempilhar um elemento nela ?	1
O	PRON	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
que	PRON	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
é	AUX	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
uma	DET	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
pilha	NOUN	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
e	CCONJ	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
como	ADV	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
colocar	VERB	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
um	DET	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
elemento	NOUN	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
nela	PRON	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
?	PUNCT	0	12_pert_0	12	O que é uma pilha e como colocar um elemento nela ?	0
O	PRON	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
que	PRON	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
é	AUX	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
uma	DET	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
fila	NOUN	1	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
e	CCONJ	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
como	ADV	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
enfileirar	VERB	1	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
um	DET	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
elemento	NOUN	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
nela	PRON	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
?	PUNCT	0	13	13	O que é uma fila e como enfileirar um elemento nela ?	1
O	PRON	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
que	PRON	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
é	AUX	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
uma	DET	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
fila	NOUN	1	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
e	CCONJ	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
como	ADV	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
colocar	VERB	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
um	DET	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
elemento	NOUN	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
nela	PRON	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
?	PUNCT	0	13_pert_0	13	O que é uma fila e como colocar um elemento nela ?	0
O	PRON	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
que	PRON	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
é	AUX	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
uma	DET	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
pilha	NOUN	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
e	CCONJ	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
como	ADV	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
empilhar	VERB	1	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
um	DET	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
elemento	NOUN	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
nela	PRON	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
?	PUNCT	0	14	14	O que é uma pilha e como empilhar um elemento nela ?	1
O	PRON	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
que	PRON	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
é	AUX	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
uma	DET	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
pilha	NOUN	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
e	CCONJ	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
como	ADV	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
colocar	VERB	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
um	DET	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
elemento	NOUN	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
nela	PRON	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
?	PUNCT	0	14_pert_0	14	O que é uma pilha e como colocar um elemento nela ?	0
O	PRON	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
que	PRON	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
é	AUX	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
uma	DET	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
pilha	NOUN	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
e	CCONJ	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
como	ADV	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
empilhar	VERB	1	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
e	CCONJ	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
desempilhar	NOUN	1	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
seus	DET	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
elementos	NOUN	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
?	PUNCT	0	15	15	O que é uma pilha e como empilhar e desempilhar seus elementos ?	1
O	PRON	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
que	PRON	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
é	AUX	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
uma	DET	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
pilha	NOUN	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
e	CCONJ	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
como	ADV	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
separar	VERB	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
e	CCONJ	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
desempilhar	NOUN	1	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
seus	DET	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
elementos	NOUN	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
?	PUNCT	0	15_pert_0	15	O que é uma pilha e como separar e desempilhar seus elementos ?	0
O	PRON	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
que	PRON	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
é	AUX	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
uma	DET	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
fila	NOUN	1	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
e	CCONJ	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
como	SCONJ	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
enfileirar	VERB	1	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
e	CCONJ	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
desenfileirar	ADV	1	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
seus	DET	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
elementos	NOUN	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
?	PUNCT	0	16	16	O que é uma fila e como enfileirar e desenfileirar seus elementos ?	1
O	PRON	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
que	PRON	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
é	AUX	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
uma	DET	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
fila	NOUN	1	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
e	CCONJ	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
como	ADV	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
organizar	VERB	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
e	CCONJ	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
desenfileirar	ADV	1	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
seus	DET	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
elementos	NOUN	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
?	PUNCT	0	16_pert_0	16	O que é uma fila e como organizar e desenfileirar seus elementos ?	0
Como	ADV	0	17	17	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	1
são	AUX	0	17	17	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	1
implementadas	VERB	1	17	17	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	1
as	DET	0	17	17	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	1
operações	NOUN	0	17	17	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	1
de	SCONJ	0	17	17	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	1
