Token	POS-Tag	OOV	__next__	Sentence
e	CCONJ	0	161	O que é uma fila e como enfileirar e desenfileirar seus elementos?
desenfileirar	PROPN	1	162	O que é uma fila e como enfileirar e desenfileirar seus elementos?
seus	DET	0	163	O que é uma fila e como enfileirar e desenfileirar seus elementos?
elementos	NOUN	0	164	O que é uma fila e como enfileirar e desenfileirar seus elementos?
?	PUNCT	0		O que é uma fila e como enfileirar e desenfileirar seus elementos?
Como	ADV	0	166	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
são	AUX	0	167	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
implementadas	VERB	1	168	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
as	DET	0	169	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
operações	NOUN	0	170	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
de	SCONJ	0	171	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
empilhar	VERB	1	172	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
e	CCONJ	0	173	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
desempilhar	PROPN	1	174	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
elementos	NOUN	0	175	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
em	ADP	0	176	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
uma	DET	0	177	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
pilha	NOUN	0	178	Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
?	PUNCT	0		Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha?
Como	ADV	0	180	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
são	AUX	0	181	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
implementadas	VERB	1	182	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
as	DET	0	183	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
operações	NOUN	0	184	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
de	SCONJ	0	185	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
enfileirar	VERB	1	186	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
e	CCONJ	0	187	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
desenfileirar	PROPN	1	188	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
elementos	NOUN	0	189	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
em	ADP	0	190	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
uma	DET	0	191	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
fila	NOUN	1	192	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
?	PUNCT	0		Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila?
Em	ADP	0	194	Em uma pilha a operação de empilhar ocorre em qual extremidade?
uma	DET	0	195	Em uma pilha a operação de empilhar ocorre em qual extremidade?
pilha	NOUN	0	196	Em uma pilha a operação de empilhar ocorre em qual extremidade?
a	DET	0	197	Em uma pilha a operação de empilhar ocorre em qual extremidade?
operação	NOUN	0	198	Em uma pilha a operação de empilhar ocorre em qual extremidade?
de	SCONJ	0	199	Em uma pilha a operação de empilhar ocorre em qual extremidade?
empilhar	VERB	1	200	Em uma pilha a operação de empilhar ocorre em qual extremidade?
ocorre	VERB	0	201	Em uma pilha a operação de empilhar ocorre em qual extremidade?
em	ADP	0	202	Em uma pilha a operação de empilhar ocorre em qual extremidade?
qual	DET	0	203	Em uma pilha a operação de empilhar ocorre em qual extremidade?
extremidade	NOUN	0	204	Em uma pilha a operação de empilhar ocorre em qual extremidade?
?	PUNCT	0		Em uma pilha a operação de empilhar ocorre em qual extremidade?
Em	ADP	0	206	Em uma fila a operação de enfileirar ocorre em qual extremidade?
uma	DET	0	207	Em uma fila a operação de enfileirar ocorre em qual extremidade?
fila	NOUN	1	208	Em uma fila a operação de enfileirar ocorre em qual extremidade?
a	DET	0	209	Em uma fila a operação de enfileirar ocorre em qual extremidade?
operação	NOUN	0	210	Em uma fila a operação de enfileirar ocorre em qual extremidade?
de	SCONJ	0	211	Em uma fila a operação de enfileirar ocorre em qual extremidade?
enfileirar	VERB	1	212	Em uma fila a operação de enfileirar ocorre em qual extremidade?
ocorre	VERB	0	213	Em uma fila a operação de enfileirar ocorre em qual extremidade?
em	ADP	0	214	Em uma fila a operação de enfileirar ocorre em qual extremidade?
qual	DET	0	215	Em uma fila a operação de enfileirar ocorre em qual extremidade?
extremidade	NOUN	0	216	Em uma fila a operação de enfileirar ocorre em qual extremidade?
?	PUNCT	0		Em uma fila a operação de enfileirar ocorre em qual extremidade?
